date,region,product,units_sold,price_per_unit,revenue
2023-06-23,Asia,Phone,9,1188,10692
2023-06-24,North America,Laptop,5,220,1100
2023-06-25,Europe,Tablet,9,502,4518
2023-06-26,North America,Laptop,4,1068,4272
2023-06-27,Asia,Laptop,9,283,2547
2023-06-28,Europe,Laptop,5,1480,7400
2023-06-29,Europe,Phone,9,769,6921
2023-06-30,Europe,Laptop,3,1133,3399
2023-07-01,North America,Phone,4,1385,5540
2023-07-02,Asia,Phone,9,1386,12474
2023-07-03,Europe,Laptop,6,1208,7248
2023-07-04,Europe,Laptop,2,992,1984
2023-07-05,Europe,Laptop,7,991,6937
2023-07-06,North America,Tablet,2,1494,2988
2023-07-07,North America,Laptop,2,691,1382
2023-07-08,Asia,Phone,1,407,407
2023-07-09,North America,Laptop,3,1283,3849
2023-07-10,Europe,Tablet,6,629,3774
2023-07-11,Asia,Laptop,8,1184,9472
2023-07-12,Europe,Tablet,9,719,6471
2023-07-13,Europe,Tablet,7,790,5530
2023-07-14,North America,Laptop,4,1250,5000
2023-07-15,Asia,Phone,6,398,2388
2023-07-16,North America,Tablet,5,586,2930
2023-07-17,North America,Laptop,8,548,4384
2023-07-18,Asia,Laptop,1,1159,1159
2023-07-19,Europe,Phone,1,892,892
2023-07-20,Europe,Tablet,6,577,3462
2023-07-21,Asia,Tablet,2,1098,2196
2023-07-22,Europe,Laptop,5,1115,5575
2023-07-23,Asia,Laptop,1,726,726
2023-07-24,Asia,Phone,7,1376,9632
2023-07-25,North America,Phone,1,933,933
2023-07-26,Asia,Tablet,4,405,1620
2023-07-27,North America,Tablet,9,654,5886
2023-07-28,Europe,Laptop,1,1496,1496
2023-07-29,Europe,Tablet,4,1459,5836
2023-07-30,Europe,Phone,6,720,4320
2023-07-31,Europe,Phone,6,1216,7296
2023-08-01,North America,Laptop,8,1155,9240
2023-08-02,Europe,Phone,1,925,925
2023-08-03,Asia,Phone,7,1213,8491
2023-08-04,Asia,Phone,1,700,700
2023-08-05,Asia,Phone,7,316,2212
2023-08-06,North America,Laptop,3,585,1755
2023-08-07,Europe,Laptop,8,783,6264
2023-08-08,Europe,Tablet,3,594,1782
2023-08-09,Europe,Phone,1,1287,1287
2023-08-10,North America,Tablet,8,920,7360
2023-08-11,Asia,Laptop,3,271,813
2023-08-12,Asia,Laptop,2,473,946
2023-08-13,Europe,Laptop,1,537,537
2023-08-14,Asia,Laptop,3,806,2418
2023-08-15,Asia,Laptop,2,365,730
2023-08-16,North America,Laptop,2,210,420
2023-08-17,North America,Laptop,6,928,5568
2023-08-18,North America,Phone,1,1000,1000
2023-08-19,North America,Tablet,2,301,602
2023-08-20,Europe,Laptop,6,978,5868
2023-08-21,North America,Phone,3,413,1239
2023-08-22,Asia,Phone,4,1311,5244
2023-08-23,Europe,Tablet,1,600,600
2023-08-24,Asia,Laptop,8,787,6296
2023-08-25,Asia,Tablet,7,1088,7616
2023-08-26,Asia,Laptop,7,1269,8883
2023-08-27,North America,Phone,3,791,2373
2023-08-28,North America,Phone,3,1309,3927
2023-08-29,Europe,Phone,2,291,582
2023-08-30,Europe,Phone,1,872,872
2023-08-31,North America,Tablet,7,913,6391
2023-09-01,Asia,Laptop,7,1135,7945
2023-09-02,Europe,Laptop,2,441,882
2023-09-03,North America,Tablet,7,201,1407
2023-09-04,North America,Laptop,8,424,3392
2023-09-05,North America,Phone,1,1000,1000
2023-09-06,Asia,Laptop,9,788,7092
2023-09-07,North America,Phone,7,315,2205
2023-09-08,North America,Tablet,3,1117,3351
2023-09-09,North America,Laptop,8,1326,10608
2023-09-10,North America,Tablet,7,393,2751
2023-09-11,Europe,Laptop,8,1389,11112
2023-09-12,Europe,Phone,6,1070,6420
2023-09-13,North America,Tablet,9,289,2601
2023-09-14,Asia,Laptop,5,321,1605
2023-09-15,Europe,Phone,3,342,1026
2023-09-16,North America,Tablet,3,1193,3579
2023-09-17,Europe,Tablet,1,305,305
2023-09-18,Europe,Laptop,8,1086,8688
2023-09-19,Asia,Laptop,2,627,1254
2023-09-20,North America,Laptop,3,516,1548
2023-09-21,North America,Phone,8,834,6672
2023-09-22,Asia,Laptop,8,208,1664
2023-09-23,Asia,Tablet,4,973,3892
2023-09-24,North America,Tablet,4,1296,5184
2023-09-25,North America,Laptop,5,422,2110
2023-09-26,Asia,Laptop,6,752,4512
2023-09-27,Europe,Tablet,5,915,4575
2023-09-28,Europe,Phone,7,1487,10409
2023-09-29,Asia,Laptop,2,1307,2614
2023-09-30,Europe,Laptop,7,310,2170
2023-10-01,Asia,Tablet,7,450,3150
2023-10-02,Europe,Laptop,1,582,582
2023-10-03,Europe,Phone,7,206,1442
2023-10-04,North America,Tablet,5,658,3290
2023-10-05,North America,Laptop,3,1307,3921
2023-10-06,Europe,Tablet,3,407,1221
2023-10-07,Europe,Laptop,4,1099,4396
2023-10-08,North America,Laptop,2,221,442
2023-10-09,North America,Laptop,2,609,1218
2023-10-10,North America,Phone,1,1094,1094
2023-10-11,Asia,Phone,5,714,3570
2023-10-12,Europe,Tablet,4,1350,5400
2023-10-13,North America,Laptop,2,1008,2016
2023-10-14,Europe,Laptop,3,1073,3219
2023-10-15,Asia,Phone,7,213,1491
2023-10-16,Asia,Laptop,7,1170,8190
2023-10-17,North America,Phone,4,1177,4708
2023-10-18,Asia,Laptop,5,1213,6065
2023-10-19,Europe,Tablet,5,1235,6175
2023-10-20,North America,Laptop,6,286,1716
2023-10-21,Europe,Laptop,9,1108,9972
2023-10-22,Europe,Phone,2,1466,2932
2023-10-23,Asia,Laptop,5,321,1605
2023-10-24,Asia,Laptop,3,1370,4110
2023-10-25,Asia,Phone,4,949,3796
2023-10-26,Asia,Tablet,6,884,5304
2023-10-27,Asia,Tablet,8,508,4064
2023-10-28,North America,Phone,1,894,894
2023-10-29,Europe,Phone,8,487,3896
2023-10-30,Europe,Phone,7,506,3542
2023-10-31,Europe,Phone,1,1113,1113
2023-11-01,Europe,Phone,2,861,1722
2023-11-02,Asia,Tablet,3,748,2244
2023-11-03,Europe,Tablet,1,511,511
2023-11-04,North America,Phone,9,1072,9648
2023-11-05,North America,Laptop,8,1282,10256
2023-11-06,Europe,Phone,2,1123,2246
2023-11-07,Europe,Laptop,9,954,8586
2023-11-08,North America,Phone,7,234,1638
2023-11-09,North America,Phone,9,644,5796
2023-11-10,Asia,Tablet,6,292,1752
2023-11-11,North America,Laptop,6,1430,8580
2023-11-12,Asia,Laptop,4,552,2208
2023-11-13,Asia,Tablet,2,1102,2204
2023-11-14,Asia,Tablet,7,1061,7427
2023-11-15,Asia,Tablet,5,358,1790
2023-11-16,Asia,Tablet,6,1156,6936
2023-11-17,Europe,Laptop,2,223,446
2023-11-18,North America,Laptop,5,603,3015
2023-11-19,Asia,Phone,4,1004,4016
2023-11-20,North America,Phone,9,715,6435
2023-11-21,North America,Tablet,6,931,5586
2023-11-22,Asia,Tablet,2,731,1462
2023-11-23,Europe,Tablet,1,1155,1155
2023-11-24,Asia,Phone,5,351,1755
2023-11-25,Europe,Phone,9,1146,10314
2023-11-26,North America,Phone,6,807,4842
2023-11-27,Europe,Phone,7,619,4333
2023-11-28,Europe,Phone,5,1473,7365
2023-11-29,Europe,Phone,6,1340,8040
2023-11-30,North America,Phone,5,1065,5325
2023-12-01,North America,Tablet,9,777,6993
2023-12-02,Europe,Tablet,6,534,3204
2023-12-03,Europe,Tablet,8,1131,9048
2023-12-04,Asia,Tablet,2,494,988
2023-12-05,Europe,Phone,9,954,8586
2023-12-06,Asia,Laptop,5,385,1925
2023-12-07,Europe,Phone,7,1469,10283
2023-12-08,Asia,Laptop,1,836,836
2023-12-09,North America,Tablet,5,1491,7455
2023-12-10,Europe,Phone,2,1460,2920
2023-12-11,Europe,Tablet,6,729,4374
2023-12-12,Europe,Phone,1,220,220
2023-12-13,Europe,Tablet,3,1110,3330
2023-12-14,Asia,Laptop,5,1066,5330
2023-12-15,Europe,Laptop,4,993,3972
2023-12-16,North America,Laptop,3,299,897
2023-12-17,North America,Phone,5,951,4755
2023-12-18,Europe,Laptop,8,677,5416
2023-12-19,North America,Phone,4,1139,4556
2023-12-20,Europe,Laptop,1,725,725
2023-12-21,Europe,Laptop,7,533,3731
2023-12-22,North America,Phone,8,201,1608
2023-12-23,Europe,Phone,3,574,1722
2023-12-24,North America,Laptop,6,492,2952
2023-12-25,Asia,Phone,2,1036,2072
2023-12-26,Europe,Laptop,7,1204,8428
2023-12-27,Asia,Phone,8,752,6016
2023-12-28,North America,Tablet,6,517,3102
2023-12-29,Asia,Tablet,6,580,3480
2023-12-30,Asia,Tablet,5,213,1065
2023-12-31,North America,Tablet,8,703,5624
2024-01-01,Asia,Tablet,1,430,430
2024-01-02,Asia,Laptop,4,1307,5228
2024-01-03,North America,Tablet,4,329,1316
2024-01-04,Asia,Tablet,3,1037,3111
2024-01-05,North America,Tablet,3,1368,4104
2024-01-06,Asia,Tablet,4,1090,4360
2024-01-07,North America,Phone,1,227,227
2024-01-08,North America,Laptop,2,265,530
2024-01-09,Asia,Tablet,9,1386,12474
2024-01-10,Asia,Tablet,2,1452,2904
2024-01-11,Asia,Tablet,5,460,2300
2024-01-12,Europe,Laptop,9,659,5931
2024-01-13,Europe,Phone,9,500,4500
2024-01-14,Europe,Laptop,8,1118,8944
2024-01-15,North America,Phone,1,486,486
2024-01-16,Asia,Tablet,1,1233,1233
2024-01-17,North America,Tablet,9,829,7461
2024-01-18,Europe,Laptop,8,469,3752
2024-01-19,Asia,Laptop,9,791,7119
2024-01-20,North America,Phone,7,1043,7301
2024-01-21,Asia,Phone,3,1061,3183
2024-01-22,North America,Laptop,3,1480,4440
2024-01-23,Asia,Phone,2,332,664
2024-01-24,Europe,Laptop,5,1499,7495
2024-01-25,Europe,Phone,3,1171,3513
2024-01-26,Asia,Laptop,6,712,4272
2024-01-27,North America,Laptop,2,512,1024
2024-01-28,Europe,Laptop,3,775,2325
2024-01-29,Europe,Phone,5,1085,5425
2024-01-30,Europe,Phone,1,1344,1344
2024-01-31,Asia,Phone,1,1330,1330
2024-02-01,Asia,Laptop,9,886,7974
2024-02-02,North America,Phone,7,1427,9989
2024-02-03,North America,Phone,1,364,364
2024-02-04,North America,Laptop,8,504,4032
2024-02-05,Asia,Tablet,3,355,1065
2024-02-06,Asia,Laptop,8,819,6552
2024-02-07,North America,Phone,5,1474,7370
2024-02-08,North America,Laptop,1,1156,1156
2024-02-09,Asia,Tablet,7,533,3731
2024-02-10,North America,Laptop,5,1168,5840
2024-02-11,Europe,Phone,6,710,4260
2024-02-12,Asia,Tablet,6,1243,7458
2024-02-13,North America,Phone,8,481,3848
2024-02-14,Asia,Tablet,9,996,8964
2024-02-15,Europe,Tablet,2,1224,2448
2024-02-16,Asia,Laptop,9,318,2862
2024-02-17,Asia,Laptop,9,1258,11322
2024-02-18,Asia,Phone,7,397,2779
2024-02-19,Asia,Laptop,1,684,684
2024-02-20,Europe,Laptop,7,1282,8974
2024-02-21,Asia,Tablet,5,1036,5180
2024-02-22,Asia,Laptop,6,1384,8304
2024-02-23,North America,Tablet,7,1208,8456
2024-02-24,Asia,Tablet,5,890,4450
2024-02-25,North America,Tablet,7,1429,10003
2024-02-26,Europe,Phone,9,1235,11115
2024-02-27,Europe,Phone,3,689,2067
2024-02-28,Europe,Phone,8,475,3800
2024-02-29,Europe,Tablet,2,892,1784
2024-03-01,North America,Phone,7,441,3087
2024-03-02,Asia,Phone,2,1439,2878
2024-03-03,Europe,Laptop,4,1474,5896
2024-03-04,Asia,Phone,7,325,2275
2024-03-05,North America,Phone,3,416,1248
2024-03-06,North America,Tablet,2,1408,2816
2024-03-07,North America,Tablet,7,1262,8834
2024-03-08,Europe,Tablet,1,1446,1446
2024-03-09,Asia,Tablet,8,1407,11256
2024-03-10,Asia,Tablet,3,694,2082
2024-03-11,Asia,Tablet,2,626,1252
2024-03-12,North America,Phone,3,1401,4203
2024-03-13,Europe,Tablet,5,1118,5590
2024-03-14,North America,Tablet,8,350,2800
2024-03-15,North America,Laptop,7,583,4081
2024-03-16,Asia,Phone,7,507,3549
2024-03-17,North America,Phone,7,945,6615
2024-03-18,Asia,Phone,8,1091,8728
2024-03-19,Europe,Tablet,1,574,574
2024-03-20,Asia,Tablet,4,1231,4924
2024-03-21,Europe,Tablet,6,328,1968
2024-03-22,Asia,Laptop,9,1214,10926
2024-03-23,North America,Tablet,2,868,1736
2024-03-24,North America,Laptop,1,716,716
2024-03-25,Europe,Phone,2,285,570
2024-03-26,Europe,Tablet,7,1398,9786
2024-03-27,Europe,Laptop,3,1416,4248
2024-03-28,Asia,Laptop,2,510,1020
2024-03-29,Asia,Tablet,7,1342,9394
2024-03-30,Europe,Phone,2,1441,2882
2024-03-31,North America,Phone,3,626,1878
2024-04-01,Asia,Phone,7,313,2191
2024-04-02,Asia,Laptop,4,1368,5472
2024-04-03,Asia,Laptop,1,502,502
2024-04-04,Europe,Laptop,5,943,4715
2024-04-05,Europe,Laptop,9,787,7083
2024-04-06,Europe,Phone,8,1186,9488
2024-04-07,Europe,Tablet,9,544,4896
2024-04-08,Europe,Laptop,9,1013,9117
2024-04-09,North America,Laptop,7,1000,7000
2024-04-10,North America,Phone,4,1224,4896
2024-04-11,Europe,Tablet,5,1370,6850
2024-04-12,Asia,Tablet,1,1276,1276
2024-04-13,Europe,Phone,1,1292,1292
2024-04-14,North America,Phone,3,560,1680
2024-04-15,North America,Tablet,8,1443,11544
2024-04-16,Asia,Laptop,2,1209,2418
2024-04-17,North America,Tablet,4,903,3612
2024-04-18,Europe,Phone,2,774,1548
2024-04-19,Asia,Laptop,5,1384,6920
2024-04-20,Europe,Laptop,9,1312,11808
2024-04-21,Europe,Phone,1,887,887
2024-04-22,Asia,Phone,5,980,4900
2024-04-23,Europe,Phone,9,784,7056
2024-04-24,North America,Tablet,1,788,788
2024-04-25,Europe,Tablet,9,1382,12438
2024-04-26,Asia,Laptop,8,688,5504
2024-04-27,Asia,Phone,4,1170,4680
2024-04-28,Asia,Laptop,5,1325,6625
2024-04-29,Europe,Laptop,5,693,3465
2024-04-30,Asia,Laptop,6,218,1308
2024-05-01,Asia,Laptop,7,596,4172
2024-05-02,Europe,Phone,8,1200,9600
2024-05-03,North America,Laptop,8,1050,8400
2024-05-04,Europe,Phone,2,1021,2042
2024-05-05,Asia,Phone,9,654,5886
2024-05-06,Asia,Tablet,7,924,6468
2024-05-07,Europe,Phone,4,1288,5152
2024-05-08,North America,Tablet,4,1299,5196
2024-05-09,Asia,Phone,8,910,7280
2024-05-10,Asia,Phone,4,342,1368
2024-05-11,Asia,Phone,6,1116,6696
2024-05-12,Europe,Tablet,5,1027,5135
2024-05-13,Asia,Tablet,3,804,2412
2024-05-14,North America,Laptop,2,504,1008
